"case, nb_agents"
"(12.0, -1.0)",1
"(5.0, 11.0)",1
"(-1.0, 2.0)",1
"(-1.0, 15.0)",1
"(0.0, 9.0)",1
"(-11.0, 12.0)",1
"(6.0, -4.0)",1
"(15.0, -1.0)",1
"(-17.0, 1.0)",1
"(13.0, -3.0)",1
"(9.0, -3.0)",1
"(-13.0, 6.0)",1
"(-8.0, 6.0)",1
"(9.0, 16.0)",1
"(-7.0, 5.0)",1
"(-4.0, -6.0)",1
"(-4.0, -2.0)",1
"(17.0, -9.0)",1
"(-4.0, -17.0)",1
"(-15.0, -8.0)",1
"(15.0, 16.0)",1
"(2.0, -23.0)",1
"(7.0, 18.0)",1
"(-15.0, -14.0)",1
"(4.0, -10.0)",1
"(15.0, 2.0)",1
"(-22.0, 2.0)",1
"(-9.0, 25.0)",1
"(6.0, 14.0)",1
"(10.0, 22.0)",1
"(-26.0, 12.0)",1
"(15.0, 0.0)",1
"(-8.0, 15.0)",1
"(-19.0, 0.0)",1
"(10.0, -26.0)",1
"(-12.0, -20.0)",1
"(17.0, 2.0)",1
"(-12.0, 17.0)",1
"(-19.0, -22.0)",1
"(-16.0, 10.0)",1
"(11.0, 14.0)",1
"(-13.0, -3.0)",1
"(-1.0, -30.0)",1
"(20.0, 9.0)",1
"(-2.0, -7.0)",1
"(-21.0, -14.0)",1
"(20.0, 22.0)",1
"(-17.0, -28.0)",1
"(-14.0, 27.0)",1
"(21.0, -31.0)",1
"(19.0, 26.0)",1
"(-21.0, -8.0)",1
"(18.0, -12.0)",1
"(13.0, 9.0)",1
"(-22.0, 20.0)",1
"(22.0, -20.0)",1
"(26.0, 29.0)",1
"(-27.0, 11.0)",1
"(20.0, 20.0)",1
"(-22.0, 25.0)",1
