"case, nb_agents"
"(-7.0, 6.0)",1
"(3.0, -3.0)",1
"(-7.0, 7.0)",1
"(-3.0, 1.0)",1
"(-12.0, -6.0)",2
"(12.0, -4.0)",1
"(-14.0, 8.0)",1
"(12.0, -9.0)",1
"(-9.0, 3.0)",1
"(-15.0, -16.0)",1
"(-10.0, 8.0)",1
"(8.0, -11.0)",1
"(-2.0, -19.0)",1
"(13.0, 17.0)",1
"(-11.0, -3.0)",1
"(-9.0, 13.0)",1
"(14.0, -6.0)",1
"(-2.0, -9.0)",1
"(1.0, -16.0)",1
"(-16.0, -7.0)",1
"(-11.0, -20.0)",1
"(2.0, 21.0)",1
"(15.0, 25.0)",1
"(-5.0, 9.0)",1
"(0.0, 9.0)",1
"(17.0, 9.0)",1
"(21.0, -9.0)",1
"(7.0, 29.0)",1
"(9.0, 19.0)",1
"(22.0, 12.0)",1
"(-17.0, -18.0)",1
"(24.0, 24.0)",1
"(-28.0, -19.0)",1
"(4.0, 18.0)",1
"(-18.0, -38.0)",1
"(-12.0, -15.0)",1
"(10.0, -19.0)",1
"(11.0, -10.0)",1
"(-15.0, 9.0)",1
"(19.0, -22.0)",1
"(-13.0, -23.0)",1
"(-4.0, 18.0)",1
"(16.0, 26.0)",1
"(10.0, 16.0)",1
"(-20.0, -6.0)",1
"(19.0, -34.0)",1
"(22.0, -30.0)",1
"(-25.0, -30.0)",1
"(-14.0, -35.0)",1
"(12.0, -16.0)",1
"(23.0, 32.0)",1
"(-13.0, 21.0)",1
"(-23.0, 20.0)",1
"(-5.0, -20.0)",1
"(-29.0, 26.0)",1
"(-27.0, -18.0)",1
"(17.0, 34.0)",1
"(-25.0, 2.0)",1
"(28.0, -14.0)",1
