"case, nb_agents"
"(0.0, 7.0)",1
"(-5.0, 13.0)",1
"(0.0, 2.0)",1
"(5.0, 10.0)",1
"(9.0, -2.0)",1
"(12.0, -1.0)",2
"(-10.0, 6.0)",1
"(-11.0, -5.0)",1
"(11.0, 1.0)",1
"(-2.0, -4.0)",1
"(-2.0, -1.0)",1
"(14.0, -6.0)",1
"(-13.0, 2.0)",1
"(-1.0, -3.0)",1
"(12.0, 13.0)",1
"(6.0, -3.0)",1
"(0.0, 14.0)",1
"(-6.0, 6.0)",1
"(-9.0, 10.0)",1
"(7.0, 13.0)",1
"(-2.0, -12.0)",1
"(2.0, -16.0)",1
"(-15.0, 0.0)",1
"(5.0, 13.0)",1
"(-11.0, -9.0)",1
"(7.0, -17.0)",1
"(3.0, -6.0)",1
"(-8.0, -12.0)",1
"(-16.0, 2.0)",1
"(10.0, -1.0)",1
"(12.0, 1.0)",1
"(-7.0, 11.0)",1
"(-14.0, -15.0)",1
"(-10.0, 7.0)",1
"(7.0, 9.0)",1
"(-6.0, 15.0)",1
"(-8.0, -1.0)",1
"(-1.0, -17.0)",1
"(13.0, 5.0)",1
"(4.0, 8.0)",1
"(-13.0, -8.0)",1
"(13.0, 14.0)",1
"(6.0, 13.0)",1
"(-11.0, -16.0)",1
"(-7.0, 16.0)",1
"(14.0, -18.0)",1
"(11.0, 15.0)",1
"(-13.0, -4.0)",1
"(11.0, -5.0)",1
"(7.0, 6.0)",1
"(-17.0, 7.0)",2
"(-13.0, 12.0)",1
"(-4.0, 3.0)",1
"(8.0, 1.0)",1
"(14.0, -10.0)",1
"(16.0, 17.0)",1
"(11.0, 11.0)",1
"(-12.0, 14.0)",1
